标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
南二环 体育场 小雁塔 凯德广场 花卉市场 风华路,军工南院 ,黄雁村,130,"10,826",3室2厅,120.09平米,东南,精装,中,18,塔楼
永宁门外 精装一居室 楼层好 采光足,南门国际 ,南稍门,60,"11,018",1室1厅,54.46平米,东 东北,简装,低,31,塔楼
南稍门精装三室 地铁口 红会医院南门旁,恒佳格调 ,南稍门,97,"10,756",3室2厅,90.19平米,东南,精装,中,22,塔楼
文艺南路 长安大学旁 中间楼层一室一厅出售 可按揭！,西安市公路研究院家属院 ,李家村,52,"10,033",2室2厅,51.83平米,南,其他,中,6,暂无数据
李家村双地铁 商品房小区 人车人流 精装两室,新旅城 ,李家村,112,"13,146",2室2厅,85.2平米,西,其他,高,33,板塔结合
鸡市拐站牌 铭爵大厦  业主产证在手 可按揭,铭爵大厦 ,城东,115,"6,404",3室2厅,179.59平米,东北,其他,中,19,塔楼
文艺南路 长安大学旁 三室一厅 精装 基本未住 采光好,白金广场小区 ,南稍门,112,"9,596",3室1厅,116.72平米,东,精装,中,21,塔楼
院部小区近四号线，交通便利配套齐全,院部小区 ,李家村,68,"8,956",2室1厅,75.93平米,南 北,其他,中,4,暂无数据
：房子满三满二，朝南两室，诚心出售！,兰蒂斯城2期 ,城东,85,"10,663",2室1厅,79.72平米,南,精装,中,32,板塔结合
纯南户型，户型方正，采光好，近地铁,龙渠堡小区 ,城东,44.5,"7,895",2室1厅,56.37平米,南,其他,中,7,板楼
配套齐全，南北通透，市政供暖，北控物业,西安热工研究院家属院 ,城东,99,"14,521",3室0厅,68.18平米,南 北,简装,低,5,板塔结合
兴庆公园旁，满五，朝南格局，户型方正。,卧龙巷机关小区 ,城东,74,"7,445",2室2厅,99.4平米,南 东 东南,简装,低,12,板塔结合
碑林东二环 通化门双地铁口 东窑坊 刚需两室 采光好,东窑坊 ,城东,88,"11,679",2室1厅,75.35平米,西,简装,中,34,塔楼
