标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
兰蒂斯城一期一室开间精装    满三曼儿,兰蒂斯城1期 ,城东,55,"13,949",1室0厅,39.43平米,北,简装,低,33,塔楼
东门外 地铁口 幸福逸家 两室 落地窗 采光明亮,幸福逸家 ,城东,105,"10,745",2室1厅,97.72平米,东,其他,高,32,板塔结合
此房满三满二，东南城角公园旁，精装小户型，随时可签,乐居都会 ,城东,53,"8,874",1室1厅,59.73平米,北,精装,高,28,塔楼
文艺路地铁口 小两室 南北向 户型方正 没有浪费面积。,陕西艺术职业学院 ,南稍门,47,"8,884",2室1厅,52.91平米,南 北,简装,中,5,平房
房子满三满二，交通方便，生活便利，配套齐全,兰蒂斯城1期 ,城东,140,"16,421",2室1厅,85.26平米,南,其他,高,32,塔楼
兰蒂斯城三期 精装一室一厅 交大地铁口,兰蒂斯城3期 ,城东,87,"16,776",1室1厅,51.86平米,北,精装,中,32,塔楼
郦景豪庭 两室东南 产证在手 诚心出售,郦景豪庭 ,城东,125,"14,074",2室1厅,88.82平米,东南,精装,低,32,板塔结合
李家村十字 三居室出售 可按揭！,环境监测家属院 ,李家村,100,"9,748",3室2厅,102.59平米,南 北,其他,高,7,暂无数据
丰庆路 幸福村小区 好楼层 可按揭 南北通透 交通便利,幸福村小区 ,城西,90,"10,019",2室2厅,89.83平米,南 北,其他,中,6,板楼
城内 西大街 五味十字 保吉巷小区 2室 南北朝向,保吉巷小区 ,城内,54,"10,032",2室1厅,53.83平米,南 北,简装,高,6,板楼
财政局家属院(碑林) 2室2厅 南,财政局家属院(碑林) ,城西,132,"12,602",2室2厅,104.75平米,南,精装,高,7,板楼
南二环 园林社区 荣城 不可错过的小区,荣城 ,南稍门,135,"14,913",2室1厅,90.53平米,西南,简装,高,27,板塔结合
东门外  地铁口  电梯房 业主诚心出售,世贸大厦 ,城东,72,"10,248",1室1厅,70.26平米,北,其他,低,32,板塔结合
交通大学 常春藤花园 2室精装 双气有证 业主诚心出售,常春藤花园 ,城东,139.5,"15,954",2室1厅,87.44平米,南 北,精装,高,31,塔楼
海星未来城 精装一室 拎包入住 产权清晰 诚心出售,海星未来城 ,城西,40,"9,432",1室0厅,42.41平米,北,简装,高,30,塔楼
业主诚心出售，房子除了楼层外，其他都不错的，可按揭,轻工院研究设计院-家属院 ,城东,47,"7,299",2室2厅,64.4平米,南 北,简装,高,7,板楼
交大 延兴门地铁口 精装2室 满三满二 看房随时,北沙庄园 ,城东,105,"11,255",2室1厅,93.3平米,东,精装,低,30,塔楼
西大街城内6号线地铁口 精装修 电梯房,唐宁国际 ,城内,135,"14,216",2室1厅,94.97平米,南,精装,高,12,板塔结合
交通便利，商圈成熟，环境优美，配套齐全,西雅图翡翠城 ,城西,320,"19,744",4室2厅,162.08平米,南 北,简装,中,28,板塔结合
房子户型方正     业主诚心出售,伊顿公馆东区 ,城西,70,"13,577",1室1厅,51.56平米,北,其他,高,33,板塔结合
钟楼小高层，采光好。精装修。客厅60平米,东厅门63号 ,城内,190,"11,536",2室1厅,164.71平米,东南,其他,中,8,板塔结合
碑林 东二环 通化门双地铁口 长乐公园旁 两室 不临街,东窑坊 ,城东,95,"10,890",2室1厅,87.24平米,西北,其他,中,27,板楼
二环边内 西工大旁 刚需两室电梯房 急售急售,大洋时代国际 ,城西,90,"11,825",2室1厅,76.11平米,东南,其他,高,32,塔楼
伊顿公馆东区 1室1厅 西,伊顿公馆东区 ,城西,75,"15,269",1室1厅,49.12平米,西,简装,中,25,板塔结合
建国路 南北通透 全明户型 诚心出售,建国三巷8号 ,城内,176,"16,391",3室2厅,107.38平米,南 北,简装,高,7,板楼
碑林区交大旁、友谊路东段东朝向大两居、视野朝向好,新兴名园 ,城东,103,"10,079",2室2厅,102.2平米,东,其他,中,25,塔楼
出售  丰庆路  大唐西市  一室 小区比较新 证在手,御溪书院 ,城西,51,"12,722",1室0厅,40.09平米,东,精装,中,31,塔楼
纯南向一居室，户型方正，满三满二，诚心出售,大洋时代国际 ,城西,45,"8,772",1室0厅,51.3平米,南,其他,中,30,塔楼
南北通透 户型规整 经典四室 诚心出售,高山流水星币传说 ,城东,409,"23,035",4室2厅,177.56平米,南 北,精装,低,28,板楼
大差市地铁口 菊花园小区 2室 精装 有证可按揭,旅游学院家属院 ,城内,64,"10,692",2室1厅,59.86平米,北,简装,高,7,塔楼
大差市 双地铁口经典3室.南北通透,西号巷15号 ,城内,79.5,"10,876",3室1厅,73.1平米,南 北,其他,中,6,暂无数据
视野宽阔，采光充足，配套设施齐全,郦景豪庭 ,城东,72,"10,702",1室0厅,67.28平米,西,其他,低,32,板塔结合
西大街 一室住房 准新房 紧挨西大街,唐宁国际 ,城内,57,"11,433",1室0厅,49.86平米,北,其他,高,12,板塔结合
东门外，地铁口，户型方正，双气到位，采光好,金叶长乐居 ,城东,155,"10,984",3室2厅,141.12平米,南 北,精装,低,31,塔楼
小区环境优美 配套齐全 交通便利,学府首座 ,城东,200.8,"16,535",3室1厅,121.44平米,南 北,精装,低,33,板塔结合
位于丰庆公园，西工大，交通便利，生活设施齐备,嘉禾公馆 ,城西,105,"11,101",2室1厅,94.59平米,东,精装,中,29,板塔结合
二环内，此房位置好，户型方正无浪费，大四室双气,新兴名园 ,城东,198,"11,956",3室2厅,165.62平米,东南,其他,中,24,塔楼
长乐门地铁口 东方星苑  两室 业主诚心出售,东方星苑 ,城东,82,"9,597",2室2厅,85.45平米,西,其他,低,31,板塔结合
长乐门地铁站口 世贸大厦 两室 产证在手 业主诚心卖,世贸大厦 ,城东,109,"9,954",2室2厅,109.51平米,东南,其他,中,32,板塔结合
二环内老城区，低首付，配套成熟，交通便利。,白庙公寓 ,城西,78,"10,564",2室1厅,73.84平米,南,精装,高,26,塔楼
户型方正，采光好，交通便利，出门就是地铁站,工行家属院(城东) ,城东,49,"7,932",2室1厅,61.78平米,南 北,其他,高,6,板楼
翠庭大厦4室2卫，单价8800单价低，诚意出售,翠庭大厦 ,城东,132,"8,167",4室2厅,161.64平米,南 北,其他,中,27,塔楼
房子位置好，交通方便，业主诚心出售,和平银座 ,城内,100,"7,915",1室1厅,126.35平米,西,精装,低,12,塔楼
地铁口 中间楼层 小区已经改造 产权清晰,90中学家属院 ,城东,68,"11,304",2室1厅,60.16平米,南,简装,中,6,板塔结合
交大 铁路局旁 华路经九路 一室一厅 南朝向采光好,华陆经九路小区 ,城东,55,"12,212",1室1厅,45.04平米,南 北,其他,中,6,板楼
交大 5号线 华陆经九路 证在手  双气 业主诚心出售,华陆经九路小区 ,城东,63,"10,268",2室1厅,61.36平米,南 北,简装,中,6,板楼
兴庆公园 交大 乐居都会 南北横厅阳台户型通风采光好,乐居都会 ,城东,150,"8,947",2室1厅,167.67平米,南 北,其他,高,28,塔楼
咸宁乐居立交桥北边，客又多楼上，乐居都会,乐居都会 ,城东,111,"8,474",2室2厅,131平米,北,简装,高,28,塔楼
地铁口电梯房，位置好，交通便利，配套齐全,长庆油田测绘路小区 ,李家村,150,"11,629",3室2厅,128.99平米,东 北,其他,高,16,板塔结合
兴庆公园邻居  9层电梯小洋房 南北三室单位改造过小区,芙蓉苑 ,城东,111,"10,705",3室2厅,103.69平米,南 北,其他,高,9,板楼
交大 铁路局 华路太乙路 2室  南北户型 中间楼层 有证,华陆经九路小区 ,城东,68,"11,727",2室1厅,57.99平米,南,其他,中,6,板楼
双交通位置   小两室  总价低  双气小区  有证可按揭,西安卫生学校家属院 ,南稍门,41,"7,133",2室1厅,57.48平米,南,其他,高,7,板楼
5号线  2号线地铁口   西安市碑林工商管理家属院,西安市工商行政管理局碑林分局家属院 ,南稍门,95,"8,960",3室1厅,106.03平米,南 北,其他,高,7,板塔结合
交大 铁路局 华路经九路 中高楼层 南北 单位小区 双气,华陆经九路小区 ,城东,87,"10,940",3室1厅,79.53平米,南,其他,高,6,板楼
兴庆公园 交大 乐居都会 南北 双气 市政供暖 证在手,乐居都会 ,城东,148,"8,827",2室2厅,167.67平米,南 北,其他,中,28,塔楼
交大 兴庆公园 乐居都会 复式3室 采光视野好 双气有证,乐居都会 ,城东,255,"9,296",3室2厅,274.32平米,南 北,其他,高,28,塔楼
西工大旁瑞鑫摩天城大四室，南北通透，精装可按揭,瑞鑫摩天城 ,城西,270,"17,164",4室1厅,157.31平米,南 北,其他,高,24,塔楼
两室精装双气，公园门口看房方便,兴庆宫 ,城东,139,"14,895",2室1厅,93.32平米,北,精装,高,33,板塔结合
红星麦凯龙   太白立交大两室   业主诚心出售,盛龙广场太白苑 ,黄雁村,105,"10,422",2室1厅,100.75平米,东北,其他,2,28,塔楼
长乐坊 金茂晓苑 2室南向 诚意出售,金茂晓苑 ,城东,142,"15,160",2室2厅,93.67平米,南,简装,中,28,板塔结合
二环边地铁口 电梯房 中高楼层 户型方正采光好诚心卖,东方广场 ,城东,106,"9,718",2室2厅,109.08平米,东南,简装,高,30,塔楼
长乐公园地铁口高山流水星币传说经典小两室户型,高山流水星币传说 ,城东,135,"18,919",2室2厅,71.36平米,西 北,精装,高,32,板塔结合
满三满二  户型方正  楼层好 视野开阔随时看房,兰蒂斯城1期 ,城东,132,"14,454",2室2厅,91.33平米,西北,精装,中,32,塔楼
商圈成熟，配套齐全，交通便利，购物方便,西雅图翡翠城 ,城西,105,"15,104",2室1厅,69.52平米,北,简装,低,28,板塔结合
2环内，满三满二 ，户型好，采光好，兴庆公园北,景龙洋楼 ,城东,95,"9,164",2室1厅,103.67平米,南 北,简装,中,6,板楼
全明户型 采光好 低楼层 精装三室,千業華園 ,城西,280,"17,720",3室2厅,158.02平米,南,其他,低,28,板塔结合
通话门双地铁，西京医院，伞塔路口。出行方便。,西窑坊小区 ,城东,69.99,"9,200",2室1厅,76.08平米,南 北,简装,高,7,板楼
地铁三号线长乐公园地铁口 双公园  两室出售,仁厚庄园 ,城东,110,"12,205",2室2厅,90.13平米,南,简装,高,33,塔楼
地铁口，户型方正，采光好，天然气已通,更新小区东区 ,城东,63.5,"9,433",2室1厅,67.32平米,东 西,其他,中,7,板楼
二环内，双气，精装，户型方正无浪费，产权清晰诚心卖,馨雅园 ,城东,95,"17,841",1室1厅,53.25平米,西,其他,低,28,板塔结合
交大一室房源  配套齐全 自住装修,简爱十六楼 ,城东,43.8,"9,127",1室0厅,47.99平米,南,其他,高,16,塔楼
碑林 东二环 长乐公园地铁口 兴庆小区金花坊 三室,兴庆小区金花坊 ,城东,81,"8,521",3室1厅,95.06平米,南 北,其他,中,7,板楼
双地铁 视野好 随时签约 楼层好 户型方正地,云峰大厦 ,城东,96,"7,722",2室1厅,124.33平米,南,其他,高,29,板塔结合
地铁六号线 住宅性质 业主诚心出售 看房方便,世贸大厦 ,城东,215,"8,399",5室2厅,255.99平米,东北,其他,高,22,板塔结合
2012年建成，三区交汇，配套完善，地铁置业，可按揭。,海星未来城 ,城西,87,"12,770",1室1厅,68.13平米,南,其他,低,30,板塔结合
建国路，26，精装三室 ，南北户型,东四道巷4号 ,城内,128,"14,973",3室1厅,85.49平米,南 北,精装,高,6,暂无数据
城墙内 大差市口  双地铁  简装,马厂子36号 ,城内,40,"7,294",2室1厅,54.84平米,西南,其他,高,8,板楼
业主诚心出售，产权清晰，全明户型，小区环境优雅。,新兴新庆坊 ,城东,180,"19,048",2室1厅,94.5平米,东 北,精装,中,11,板塔结合
地铁口  鸡市拐 帝标大厦 大两室  毛坯,帝标大厦 ,城东,99,"7,149",2室1厅,138.5平米,北,其他,高,29,板塔结合
交大 兴庆公园 乐居都会 双气 单价9000！电梯房 有证,乐居都会 ,城东,116,"8,843",2室2厅,131.19平米,北,其他,低,28,塔楼
柿园路 帝标大厦 三室 产证在手 诚心出售,帝标大厦 ,城东,129,"6,730",3室2厅,191.68平米,西,其他,低,29,板塔结合
交大西门 地铁口 精装两室一厅 业主诚心出售 看房方便,文化小区 ,城东,56,"8,588",2室1厅,65.21平米,北,简装,高,7,板楼
东关南街，古迹岭小区，简装，双气，三室。,古迹岭小区 ,城东,119,"10,285",3室1厅,115.71平米,南 北,简装,低,7,板塔结合
交大南门，三室，90万，可按揭,陕西电力科学研究院家属院 ,城东,82,"8,180",3室2厅,100.25平米,东 西,其他,高,7,板楼
户型南北通透 院子有2栋楼 配套设施..,北火巷42号院 ,城东,76.5,"8,268",2室1厅,92.53平米,南 北,其他,高,7,板楼
东门外  东关正街  6号线地铁口  南北户型  电梯双气,世贸大厦 ,城东,118,"9,946",2室2厅,118.65平米,南 北,其他,中,32,板塔结合
大差市双地铁口精装，拎包入住。双气首付15万,西号巷16号 ,城内,74.5,"11,820",2室1厅,63.03平米,东北,其他,中,7,塔楼
城墙边小两室，刚需自住低首付，小年轻不错的选择,景寓学府东区 ,城西,100,"16,729",2室1厅,59.78平米,东 北,其他,低,34,板塔结合
业主自住，房子保持好，手续齐全清晰，可按揭组合贷等,馨雅园 ,城东,145,"16,403",2室2厅,88.4平米,南 北,简装,高,28,板塔结合
御溪书院 大唐西市地铁口 精装 诚售,御溪书院 ,城西,180,"16,218",3室2厅,110.99平米,西南,精装,高,31,塔楼
此房在西工大东门隔壁，满三满二，南北通透，诚心出售,民航小区 ,城西,66,"8,836",2室1厅,74.7平米,南 北,其他,高,7,板楼
二环边 公园旁 3号线长乐公园地铁口 房龄新 配套齐全,公园人家 ,城东,115,"12,310",2室2厅,93.42平米,东北,简装,中,34,板楼
华龙太乙城 2室1厅 南,华龙太乙城 ,城东,165,"21,722",2室1厅,75.96平米,南,精装,中,33,板塔结合
太乙路地铁口 两室南北通透 精装有证,文化小区 ,城东,57,"8,793",2室1厅,64.83平米,北 南,其他,高,7,板楼
东门外 地铁口 东关正街 办公房,招商局广场 ,城东,110,"8,380",1室1厅,131.28平米,南,其他,中,15,塔楼
地铁口、交大旁、生活方便、随时看房、生活购物一站式,兰蒂斯城1期 ,城东,125,"15,145",2室1厅,82.54平米,南,其他,低,33,塔楼
西工大旁民航小区三室一厅诚心出售,民航小区 ,城西,122,"12,287",3室1厅,99.3平米,南 北,其他,高,7,板楼
两室   顶楼   满五唯一   有证可按揭,古迹岭小区 ,城东,40,"8,081",1室1厅,49.5平米,南 北,其他,高,7,板塔结合
市中，小区交通方便，鼓楼，钟楼小区西边，总价低，,西安市马坊门小区 ,城内,37,"8,413",2室1厅,43.98平米,西北,简装,高,7,塔楼
交大街 兰蒂斯城1期2室 业主诚售 证在手 看上可以聊,兰蒂斯城1期 ,城东,85,"10,528",2室2厅,80.74平米,南,精装,中,32,板塔结合
有证满五 产权清晰 可按揭 近公园地铁，出行方便。,索罗巷95号院 ,城东,51.5,"9,352",2室1厅,55.07平米,南 北,简装,中,7,暂无数据
兴庆公园北门 帝标大厦 3室 西南 有证可按揭,帝标大厦 ,城东,120,"6,832",3室2厅,175.66平米,西南,简装,中,29,板塔结合
小区有双气，生活气息浓郁，位于仿古街内,西安市第一医院家属院(碑林) ,城内,90,"9,589",3室1厅,93.86平米,南 北,其他,高,6,暂无数据
满三满二 通化门地铁 长乐公园旁 交通便利 繁华地段,东窑坊 ,城东,118,"12,836",2室1厅,91.93平米,南,其他,中,34,塔楼
城墙内 大差市口  双地铁  简装,马厂子36号 ,城内,40,"7,294",2室1厅,54.84平米,西南,其他,高,8,板楼
建国路，26，精装三室 ，南北户型,东四道巷4号 ,城内,128,"14,973",3室1厅,85.49平米,南 北,精装,高,6,暂无数据
地铁口，户型方正，采光好，天然气已通,更新小区东区 ,城东,63.5,"9,433",2室1厅,67.32平米,东 西,其他,中,7,板楼
兴庆公园北门 帝标大厦 3室 西南 有证可按揭,帝标大厦 ,城东,120,"6,832",3室2厅,175.66平米,西南,简装,中,29,板塔结合
交大街 兰蒂斯城1期2室 业主诚售 证在手 看上可以聊,兰蒂斯城1期 ,城东,85,"10,528",2室2厅,80.74平米,南,精装,中,32,板塔结合
2环内，满三满二 ，户型好，采光好，兴庆公园北,景龙洋楼 ,城东,95,"9,164",2室1厅,103.67平米,南 北,简装,中,6,板楼
长乐公园地铁口高山流水星币传说经典小两室户型,高山流水星币传说 ,城东,135,"18,919",2室2厅,71.36平米,西 北,精装,高,32,板塔结合
通话门双地铁，西京医院，伞塔路口。出行方便。,西窑坊小区 ,城东,69.99,"9,200",2室1厅,76.08平米,南 北,简装,高,7,板楼
全明户型 采光好 低楼层 精装三室,千業華園 ,城西,280,"17,720",3室2厅,158.02平米,南,其他,低,28,板塔结合
地铁六号线 住宅性质 业主诚心出售 看房方便,世贸大厦 ,城东,215,"8,399",5室2厅,255.99平米,东北,其他,高,22,板塔结合
地铁口  鸡市拐 帝标大厦 大两室  毛坯,帝标大厦 ,城东,99,"7,149",2室1厅,138.5平米,北,其他,高,29,板塔结合
交大西门 地铁口 精装两室一厅 业主诚心出售 看房方便,文化小区 ,城东,56,"8,588",2室1厅,65.21平米,北,简装,高,7,板楼
东关南街，古迹岭小区，简装，双气，三室。,古迹岭小区 ,城东,119,"10,285",3室1厅,115.71平米,南 北,简装,低,7,板塔结合
中铁一局 太乙路东院76.6平米 大两室 诚心出售,中铁一局集团太乙路东院小区 ,城东,99,"12,925",2室1厅,76.6平米,南 北,简装,高,6,暂无数据
满三满二  户型方正  楼层好 视野开阔随时看房,兰蒂斯城1期 ,城东,132,"14,454",2室2厅,91.33平米,西北,精装,中,32,塔楼
交大 兴庆公园 乐居都会 双气 单价9000！电梯房 有证,乐居都会 ,城东,116,"8,843",2室2厅,131.19平米,北,其他,低,28,塔楼
市中芯6号线地铁口西大街广济街站两居室诚心出售,广济小区 ,城内,58,"9,727",2室1厅,59.63平米,西,简装,中,8,板楼
两室精装双气，公园门口看房方便,兴庆宫 ,城东,139,"14,895",2室1厅,93.32平米,北,精装,高,33,板塔结合
交大旁地铁口，南北通透三居室，业主诚心出售,东新花园（城东） ,城东,88,"8,386",3室2厅,104.94平米,南 北,其他,中,7,板楼
长乐坊 金茂晓苑 2室南向 诚意出售,金茂晓苑 ,城东,142,"15,160",2室2厅,93.67平米,南,简装,中,28,板塔结合
二环边地铁口 电梯房 中高楼层 户型方正采光好诚心卖,东方广场 ,城东,106,"9,718",2室2厅,109.08平米,东南,简装,高,30,塔楼
红星麦凯龙   太白立交大两室   业主诚心出售,盛龙广场太白苑 ,黄雁村,105,"10,422",2室1厅,100.75平米,东北,其他,2,28,塔楼
大三室，小区环境好，采光好，绿化面积大，居住适宜,兰蒂斯城3期 ,城东,275,"20,744",3室2厅,132.57平米,东南,精装,低,32,塔楼
兴庆公园邻居  9层电梯小洋房 南北三室单位改造过小区,芙蓉苑 ,城东,111,"10,705",3室2厅,103.69平米,南 北,其他,高,9,板楼
6号线地铁口 低楼层 南北户型 诚心出售,更新小区 ,城东,60,"8,198",2室1厅,73.19平米,南 北,其他,高,6,暂无数据
东关鸡市拐 中间楼层两室，诚心出售,更新小区 ,城东,67,"10,044",2室1厅,66.71平米,西,其他,中,7,板楼
东门外 鸡市拐 更新小区 小两室 业主诚心出售,更新小区 ,城东,50,"8,620",2室1厅,58.01平米,南 北,其他,高,7,板楼
产证在手 随时可交易 房子自己住保持很好,御溪书院 ,城西,105,"12,905",2室1厅,81.37平米,东,精装,高,31,塔楼
满三满二 小区安静 无浪费面积,御溪书院 ,城西,58,"14,468",1室0厅,40.09平米,北,其他,中,31,塔楼
此房满五满二视野开阔采光充足交通便利业主诚心出售,帝标大厦 ,城东,148,"9,476",3室2厅,156.2平米,南,精装,中,29,板塔结合
采光充足 视野宽阔 双地铁 生活配套齐全,四院家属院 ,李家村,57,"10,293",2室1厅,55.38平米,南 北,其他,高,6,板楼
地铁口 康复路商圈 双气  电梯房 有证可按揭 手慢无,银邦大厦 ,城东,126,"12,213",2室1厅,103.17平米,北,简装,低,26,板塔结合
东门外 兴庆公园北门 景龙池两室两卫 楼层好 视线好,景龙洋楼 ,城东,120,"9,175",2室2厅,130.8平米,东 西,精装,中,7,板楼
东门外 地铁口  幸福逸家  高层 诚心出售  看房方便,幸福逸家 ,城东,124,"11,810",2室1厅,105平米,西,简装,中,32,板塔结合
地铁口  康复路 南向  采光优秀 证在手 诚心出售,银邦大厦 ,城东,99,"11,386",2室1厅,86.95平米,南,简装,中,26,板塔结合
东二环内  两室 诚心出售 证在手 可按揭可全款,新兴IN之家 ,城东,172,"15,145",2室2厅,113.57平米,南 北,精装,高,11,板塔结合
诚心出售，一室一厅，南向带露台，采光好，精装修,东新城市花园 ,城东,76,"13,190",1室1厅,57.62平米,南,精装,中,11,板楼
建大  电梯房  可按揭    证在手可按揭,心晴雅苑 ,李家村,205,"13,502",3室2厅,151.84平米,西南,简装,中,16,板塔结合
6号线地铁口 低楼层 南北户型 诚心出售,更新小区 ,城东,60,"8,198",2室1厅,73.19平米,南 北,其他,高,6,暂无数据
长乐门站口    业主诚心出售   价位好谈,更新小区 ,城东,60,"8,647",2室1厅,69.39平米,南 北,简装,高,7,板楼
大差市万达 一室开间 业主诚心出售 产证在手,万达新天地 ,城内,51,"10,588",1室0厅,48.17平米,北,其他,中,11,板塔结合
银邦大厦 康复路地铁口南100米 五证齐全,银邦大厦 ,城东,106,"7,997",3室2厅,132.55平米,南,其他,中,26,塔楼
体育场地铁口长安大街3号标准一室一厅精装出售,长安大街3号 ,南稍门,93,"15,216",1室1厅,61.12平米,南,其他,低,33,板塔结合
兴庆公园，三室  南北通透，户型方正   交通便利,新兴IN之家 ,城东,145,"9,794",3室1厅,148.05平米,南 北,简装,中,11,板塔结合
钟楼单位家属院，户型好南北通透3室,中柳巷4号 ,城内,78.9,"8,359",3室1厅,94.4平米,南 北,其他,高,7,暂无数据
2楼，精装修，南北通透，适合陪读老人,华陆经九路小区 ,城东,108,"13,580",3室1厅,79.53平米,南 北,其他,低,6,板楼
李家村 建筑科技大地铁口  万达广场 秋林  一室,李家村万达广场 ,李家村,55,"11,157",1室0厅,49.3平米,北,精装,中,29,板塔结合
楼层好，视野宽阔，配套设施齐全，交通便利,兴庆花园 ,城东,148,"7,618",3室1厅,194.28平米,东北,其他,中,30,塔楼
南稍门外，纯南向标准一室一厅，业主诚心出售,长安壹栋 ,南稍门,72,"12,858",1室1厅,56平米,南,其他,3,33,塔楼
建大，地铁口花园小区 新旅城，小户型 低首付,新旅城 ,李家村,60,"12,780",1室0厅,46.95平米,北,其他,中,32,板塔结合
地铁口 70年产权 小户型 落地窗,云峰大厦 ,城东,37.5,"10,006",1室0厅,37.48平米,西,其他,高,29,板塔结合
交通便利，位置优越。适合办公。。,会展大厦 ,南稍门,45,"12,367",1室0厅,36.39平米,东,简装,中,29,塔楼
房子中间楼层，全明户型，南北通透,景寓学府东区 ,城西,310,"20,524",3室2厅,151.05平米,南 北,其他,高,33,板楼
西工大北隔壁 南北通透三室 满二无大税,景寓学府东区 ,城西,278,"20,203",3室2厅,137.61平米,南 北,其他,低,33,板楼
此房满三满二，业主诚意售，户型单一，稀有1室,和平大道 ,城内,50,"10,145",1室0厅,49.29平米,南,其他,中,9,塔楼
楼层好，朝向好，采光合适无遮挡，精装保持完善。,海星未来城 ,城西,79.9,"13,216",1室1厅,60.46平米,东,精装,中,17,板塔结合
钟楼 粉巷 南院门单位家属院 三室 集中供暖,市委家属院北区 ,城内,79,"9,318",3室1厅,84.79平米,南 北,简装,高,7,板楼
二环内，交大南门房子精装修一室，双气 业主诚心出售,馨雅园 ,城东,70,"13,561",1室1厅,51.62平米,西,精装,高,28,板塔结合
三室中间楼层      南稍门地铁口,友谊东路永宁小区 ,南稍门,96,"9,935",3室1厅,96.63平米,南 北,简装,中,7,板塔结合
建大  新旅城花园  小区  三室 南北  可按揭,新旅城 ,李家村,195,"15,500",3室2厅,125.81平米,南 北,精装,低,33,板塔结合
小雁塔，太古里，精装小面积户型，适合年轻人,合能朱阙 ,黄雁村,30,"8,793",1室0厅,34.12平米,东,精装,中,30,塔楼
小区优美，户型规整，全明户型，中低楼层,新旅城 ,李家村,68,"16,667",1室1厅,40.8平米,北,其他,低,32,塔楼
李家村十字 4.5号地铁口 交通便利  两室 出售,中铁一局李家村西院住宅区 ,李家村,140,"14,631",2室1厅,95.69平米,西,其他,高,25,平房
东泰小两居，中间楼层，业主诚心出售,东泰城市之光北区 ,黄雁村,155,"25,465",2室1厅,60.87平米,北,简装,中,33,塔楼
二环内，交大南门房子精装修一室，双气 业主诚心出售,馨雅园 ,城东,70,"13,561",1室1厅,51.62平米,西,精装,高,28,板塔结合
交大旁，地铁边，小三室，户型方正业主诚心出售,华陆经九路小区 ,城东,99,"11,279",3室2厅,87.78平米,南 北,简装,高,7,板楼
长乐门地铁口 龙渠堡小区 南北通透两室,龙渠堡小区 ,城东,69,"9,856",2室2厅,70.01平米,南 北,其他,高,7,板楼
交大旁地铁口单价很低诚意出售户型方正将装电梯！,交大商场街16号 ,城东,99,"6,924",3室2厅,143平米,东 西,简装,高,7,板楼
二环内 太白立交 三地铁 西工大旁陪读 一室精装,瑞鑫摩天城 ,城西,53,"13,270",1室1厅,39.94平米,西北,其他,中,26,塔楼
此房满三满二 壁挂取暖 带有露台 可以养花养宠物,贝特智能佳园 ,城东,88,"8,374",2室2厅,105.09平米,南,其他,高,6,板楼
南稍门地铁口红会医院邻中贸街出行方便,友谊东路永宁小区 ,南稍门,65,"8,483",2室1厅,76.63平米,北,简装,高,7,板塔结合
房子朝南，一室一厅 ，地铁口 西工大旁，,太白星座 ,黄雁村,135,"28,773",1室1厅,46.92平米,南,其他,高,32,塔楼
两室房子诚心出售  看房方便  信息照片真实 楼层好,圪塔寺6号院 ,城内,76.5,"10,470",2室1厅,73.07平米,南 北,精装,中,7,板塔结合
此房户型方正，双气都有，小区环境好,景寓学府东区 ,城西,95,"15,892",2室1厅,59.78平米,东北,其他,低,34,板塔结合
建大  新旅城花园  小区  三室 南北  可按揭,新旅城 ,李家村,195,"15,500",3室2厅,125.81平米,南 北,精装,低,33,板塔结合
此房满三满二，业主诚意售，户型单一，稀有1室,和平大道 ,城内,50,"10,145",1室0厅,49.29平米,南,其他,中,9,塔楼
三室中间楼层      南稍门地铁口,友谊东路永宁小区 ,南稍门,96,"9,935",3室1厅,96.63平米,南 北,简装,中,7,板塔结合
五号线地铁口 三室精装修 配套设施齐全,泰华世纪新城Ⅱ ,李家村,205,"17,911",3室2厅,114.46平米,西南,其他,低,31,板塔结合
房子中间楼层，全明户型，南北通透,景寓学府东区 ,城西,310,"20,524",3室2厅,151.05平米,南 北,其他,高,33,板楼
兴庆公园，三室  南北通透，户型方正   交通便利,新兴IN之家 ,城东,145,"9,794",3室1厅,148.05平米,南 北,简装,中,11,板塔结合
交通便利，位置优越。适合办公。。,会展大厦 ,南稍门,45,"12,367",1室0厅,36.39平米,东,简装,中,29,塔楼
楼层好，朝向好，采光合适无遮挡，精装保持完善。,海星未来城 ,城西,79.9,"13,216",1室1厅,60.46平米,东,精装,中,17,板塔结合
业主诚心出售   价位可谈   四周生活配套齐全,中国石油陕西销售公司家属院 ,城东,45,"6,850",2室1厅,65.7平米,南,简装,高,7,板楼
二环边 公园旁 3号线长乐公园地铁口 房龄新 配套齐全,公园人家 ,城东,150,"13,138",3室2厅,114.18平米,西南,其他,中,34,板楼
南稍门外，纯南向标准一室一厅，业主诚心出售,长安壹栋 ,南稍门,72,"12,858",1室1厅,56平米,南,其他,3,33,塔楼
建大，地铁口花园小区 新旅城，小户型 低首付,新旅城 ,李家村,60,"12,780",1室0厅,46.95平米,北,其他,中,32,板塔结合
楼层好，视野宽阔，配套设施齐全，交通便利,兴庆花园 ,城东,148,"7,618",3室1厅,194.28平米,东北,其他,中,30,塔楼
李家村 建筑科技大地铁口  万达广场 秋林  一室,李家村万达广场 ,李家村,55,"11,157",1室0厅,49.3平米,北,精装,中,29,板塔结合
